orszagok,ev,fr_ferfi,fr_no,koktatas_ferfi,gyerekek_szama,onfoglal_ferfi,havi_jovedelem,gdp,exp,koktatas_no,onfoglal_no,sza
Lettország,2017,76.90,72.60,87.50,1.50,59.60,1043.60,28673.56,16615.30,93.00,42.40,22.10
Lettország,2018,79.00,74.70,87.80,1.50,55.80,1185.10,30877.04,17923.00,93.30,40.00,23.30
Lettország,2019,79.20,75.50,88.60,1.60,54.90,1204.50,31883.26,18338.40,93.50,40.30,22.90
Lettország,2020,78.80,75.10,88.80,1.60,58.90,1302.60,31464.48,17803.20,94.30,44.80,21.60
Litvánia,2012,69.10,67.90,92.00,1.50,72.40,785.30,24703.69,26135.60,94.50,46.80,18.60
Litvánia,2013,71.20,68.60,92.10,1.50,80.40,855.50,26721.58,27565.10,94.70,52.10,20.60
Litvánia,2014,73.10,70.60,91.70,1.50,79.40,896.50,28184.47,26437.50,94.70,56.60,19.10
Litvánia,2015,74.60,72.20,91.80,1.50,85.10,791.30,28834.43,25685.50,95.10,55.60,22.20
Litvánia,2016,76.20,74.30,93.20,1.50,92.20,855.70,30925.17,26284.60,96.00,54.70,21.90
Litvánia,2017,76.50,75.50,93.20,1.60,87.30,947.20,33761.87,31113.30,96.30,54.10,22.90
Litvánia,2018,79.00,76.70,93.30,1.60,87.50,1090.80,36376.19,34229.90,96.20,55.30,22.90
Litvánia,2019,79.00,77.40,93.50,1.50,93.00,1451.20,38540.78,37775.90,96.30,51.60,20.60
Litvánia,2020,77.50,75.80,93.80,1.50,93.60,1628.20,38883.12,36388.50,96.90,49.90,20.90
Luxemburg,2012,78.50,64.10,80.20,1.80,11.40,6061.90,96636.43,79658.40,76.30,7.30,15.10
Luxemburg,2013,78.00,63.90,81.60,1.80,11.10,6430.30,100925.01,86594.50,79.30,7.40,15.90
Luxemburg,2014,78.40,65.50,84.10,1.80,12.00,6694.00,105296.28,94665.50,79.80,7.00,16.40
Luxemburg,2015,76.70,65.00,76.40,1.70,13.00,5675.60,107859.69,103864.10,75.60,8.30,15.30
Luxemburg,2016,76.10,65.10,79.50,1.70,14.60,5690.60,113365.18,107412.90,77.30,8.70,15.80
Luxemburg,2017,75.40,67.50,77.20,1.70,13.90,5992.90,114985.84,112118.90,75.60,9.80,16.40
Luxemburg,2018,76.00,68.00,78.70,1.70,12.40,6416.50,116965.59,118563.30,78.40,8.20,16.70
Luxemburg,2019,77.20,68.10,79.70,1.70,12.80,6146.40,117341.92,128845.80,78.90,8.10,17.50
Luxemburg,2020,75.60,68.50,78.60,1.70,13.70,6228.80,117500.21,131454.70,78.40,8.30,17.40
Magyarország,2012,67.30,60.40,84.50,1.60,278.10,1080.30,46361.46,183012.70,79.60,140.50,14.30
Magyarország,2013,69.30,61.20,84.90,1.70,276.00,1094.80,47830.63,186244.30,80.20,132.40,15.00
