orszagok,ev,fr_ferfi,fr_no,koktatas_ferfi,gyerekek_szama,onfoglal_ferfi,havi_jovedelem,gdp,exp,koktatas_no,onfoglal_no,sza
Irorszag,2019,81.3,68.8,81,1.9,209.5,4593.7,87379.6929656668,456096.7,86.2,69,13.1
Irorszag,2020,78.5,65.8,82.9,1.9,196.9,4681.6,93180.9453964352,488877.4,88,73.7,13.9
Lengyelorszag,2012,69.7,56.2,89.7,1.6,1882.7,1112.5,23745.6977950948,171672.3,89.5,944.9,17.1
Lengyelorszag,2013,70,56.3,90.2,1.6,1859.1,1163.5,24567.5061660535,180473.1,90.1,914,17.3
Lengyelorszag,2014,71.8,58.2,90.4,1.6,1880,1189.4,25475.5046935927,193113.3,90.6,905.4,17
Lengyelorszag,2015,72.9,59.9,90.6,1.6,1897.8,1010.3,26862.0525150288,211321,91,933.9,17.6
Lengyelorszag,2016,74.9,61.5,91.1,1.6,1899.4,1009.6,28322.1069770901,221766.8,91.5,908.1,17.3
Lengyelorszag,2017,77,63,92,1.6,1922.3,1121.3,30064.5034841771,253163,92.2,866.8,15
Lengyelorszag,2018,78.3,64.5,92.1,1.7,1907.7,1273.5,31953.0350337072,275015.4,92.7,898.3,14.8
Lengyelorszag,2019,79.7,64.9,92.2,1.7,1915.6,1297.3,33797.7673600747,295592.2,93,886,15.4
Lengyelorszag,2020,80.2,65.2,92.9,1.7,1996.4,1342.8,34240.2473551909,294219.2,93.6,881,14.8
Lettorszag,2012,69.8,66.2,85.6,1.5,52.4,880.2,21290.4595879,13577.5,92.2,34.7,19.2
Lettorszag,2013,71.7,67.5,85.9,1.5,53.5,950.7,22639.0683375842,13764.8,92.5,36.9,19.4
Lettorszag,2014,72.9,68.4,86,1.5,55.7,1014.9,23815.8000623115,14443.6,92.7,34.5,21.2
Lettorszag,2015,74.6,70.5,86.9,1.5,63.1,907.2,24972.7860869932,14805.2,93.2,37.1,22.5
Lettorszag,2016,74.5,71.7,88.2,1.5,62.5,950.2,26721.7261996962,15115.6,93,39.2,21.8
Lettorszag,2017,76.9,72.6,87.5,1.5,59.6,1043.6,28673.5633962664,16615.3,93,42.4,22.1
Lettorszag,2018,79,74.7,87.8,1.5,55.8,1185.1,30877.0419264807,17923,93.3,40,23.3
Lettorszag,2019,79.2,75.5,88.6,1.6,54.9,1204.5,31883.2591148032,18338.4,93.5,40.3,22.9
Lettorszag,2020,78.8,75.1,88.8,1.6,58.9,1302.6,31464.484293229,17803.2,94.3,44.8,21.6
Litvania,2012,69.1,67.9,92,1.5,72.4,785.3,24703.6858202502,26135.6,94.5,46.8,18.6
Litvania,2013,71.2,68.6,92.1,1.5,80.4,855.5,26721.5796712844,27565.1,94.7,52.1,20.6
Litvania,2014,73.1,70.6,91.7,1.5,79.4,896.5,28184.4723303858,26437.5,94.7,56.6,19.1
Litvania,2015,74.6,72.2,91.8,1.5,85.1,791.3,28834.4276801135,25685.5,95.1,55.6,22.2
Litvania,2016,76.2,74.3,93.2,1.5,92.2,855.7,30925.1708493589,26284.6,96,54.7,21.9
Litvania,2017,76.5,75.5,93.2,1.6,87.3,947.2,33761.871239796,31113.3,96.3,54.1,22.9
Litvania,2018,79,76.7,93.3,1.6,87.5,1090.8,36376.1898152469,34229.9,96.2,55.3,22.9
Litvania,2019,79,77.4,93.5,1.5,93,1451.2,38540.7814542339,37775.9,96.3,51.6,20.6
Litvania,2020,77.5,75.8,93.8,1.5,93.6,1628.2,38883.1190343211,36388.5,96.9,49.9,20.9
Luxemburg,2012,78.5,64.1,80.2,1.8,11.4,6061.9,96636.426643956,79658.4,76.3,7.3,15.1
Luxemburg,2013,78,63.9,81.6,1.8,11.1,6430.3,100925.011992241,86594.5,79.3,7.4,15.9
Luxemburg,2014,78.4,65.5,84.1,1.8,12,6694,105296.284588232,94665.5,79.8,7,16.4
Luxemburg,2015,76.7,65,76.4,1.7,13,5675.6,107859.685999308,103864.1,75.6,8.3,15.3
Luxemburg,2016,76.1,65.1,79.5,1.7,14.6,5690.6,113365.176082265,107412.9,77.3,8.7,15.8
Luxemburg,2017,75.4,67.5,77.2,1.7,13.9,5992.9,114985.842235989,112118.9,75.6,9.8,16.4
Luxemburg,2018,76,68,78.7,1.7,12.4,6416.5,116965.586110774,118563.3,78.4,8.2,16.7
Luxemburg,2019,77.2,68.1,79.7,1.7,12.8,6146.4,117341.915064354,128845.8,78.9,8.1,17.5
Luxemburg,2020,75.6,68.5,78.6,1.7,13.7,6228.8,117500.207221609,131454.7,78.4,8.3,17.4
Magyarorszag,2012,67.3,60.4,84.5,1.6,278.1,1080.3,46361.463694173,183012.7,79.6,140.5,14.3
Magyarorszag,2013,69.3,61.2,84.9,1.7,276,1094.8,47830.6308878373,186244.3,80.2,132.4,15
Magyarorszag,2014,73.5,64.1,85.1,1.7,286.8,1052.1,51098.2666828245,214349.7,81.1,133.4,15
Magyarorszag,2015,75.8,66.2,84.9,1.7,284.8,887.8,69028.7727189836,320564.9,81.6,141.2,14.9
Magyarorszag,2016,78.6,68.9,85.2,1.7,283.7,897.8,71498.6010072841,328235.4,81.6,148.2,14.5
